timestamp,user,machine,os,action,application_or_sender,url_or_ip,file_or_path,description
2025-05-26 08:54:15,y.ait,PC-192.168.1.101,Windows10,alert_av,,,,Antivirus alert triggered
2025-05-26 08:55:17,m.benali,PC-192.168.1.103,Windows10,login_success,,,,User m.benali logged in
2025-05-26 08:55:54,y.ait,PC-192.168.1.102,Windows10,file_access,,,C:\Users\y.ait\Documents\project.docx,Opened document
2025-05-26 08:56:33,a.hamidi,PC-192.168.1.103,Windows10,file_access,,,C:\Users\a.hamidi\Documents\project.docx,Opened document
2025-05-26 08:57:33,y.ait,PC-192.168.1.105,Windows10,open_application,Outlook.exe,,,y.ait opened Outlook.exe
2025-05-26 08:57:39,r.kabbaj,PC-192.168.1.102,Windows10,file_created,,,C:\Temp\malware.exe,Suspicious file created
2025-05-26 08:58:55,n.elkhlifi,PC-192.168.1.102,Windows10,login_success,,,,User n.elkhlifi logged in
2025-05-26 08:59:03,m.benali,PC-192.168.1.104,Windows10,file_access,,,C:\Users\m.benali\Documents\project.docx,Opened document
2025-05-26 08:59:19,m.benali,PC-192.168.1.104,Windows10,file_created,,,C:\Temp\malware.exe,Suspicious file created
2025-05-26 09:00:23,m.benali,PC-192.168.1.102,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 09:01:47,r.kabbaj,PC-192.168.1.105,Windows10,alert_av,,,,Antivirus alert triggered
2025-05-26 09:02:04,y.ait,PC-192.168.1.104,Windows10,network_connection,,,185.199.108.153,Suspicious connection to 185.199.108.153
2025-05-26 09:02:44,m.benali,PC-192.168.1.101,Windows10,file_access,,,C:\Users\m.benali\Documents\project.docx,Opened document
2025-05-26 09:03:20,n.elkhlifi,PC-192.168.1.104,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 09:03:31,n.elkhlifi,PC-192.168.1.102,Windows10,login_success,,,,User n.elkhlifi logged in
2025-05-26 09:03:55,a.hamidi,PC-192.168.1.101,Windows10,login_success,,,,User a.hamidi logged in
2025-05-26 09:05:09,y.ait,PC-192.168.1.101,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 09:05:34,m.benali,PC-192.168.1.102,Windows10,alert_av,,,,Antivirus alert triggered
2025-05-26 09:05:53,a.hamidi,PC-192.168.1.104,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 09:06:50,a.hamidi,PC-192.168.1.102,Windows10,open_application,Teams.exe,,,a.hamidi opened Teams.exe
2025-05-26 09:07:56,y.ait,PC-192.168.1.104,Windows10,file_access,,,C:\Users\y.ait\Documents\project.docx,Opened document
2025-05-26 09:09:12,a.hamidi,PC-192.168.1.104,Windows10,alert_av,,,,Antivirus alert triggered
2025-05-26 09:09:42,y.ait,PC-192.168.1.103,Windows10,file_access,,,C:\Users\y.ait\Documents\project.docx,Opened document
2025-05-26 09:10:50,r.kabbaj,PC-192.168.1.104,Windows10,open_application,Chrome.exe,,,r.kabbaj opened Chrome.exe
2025-05-26 09:11:20,r.kabbaj,PC-192.168.1.104,Windows10,network_connection,,,185.199.108.153,Suspicious connection to 185.199.108.153
2025-05-26 09:12:35,m.benali,PC-192.168.1.104,Windows10,file_access,,,C:\Users\m.benali\Documents\project.docx,Opened document
2025-05-26 09:12:40,n.elkhlifi,PC-192.168.1.103,Windows10,login_success,,,,User n.elkhlifi logged in
2025-05-26 09:13:18,y.ait,PC-192.168.1.105,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 09:14:03,n.elkhlifi,PC-192.168.1.104,Windows10,file_access,,,C:\Users\n.elkhlifi\Documents\project.docx,Opened document
2025-05-26 09:14:59,n.elkhlifi,PC-192.168.1.103,Windows10,file_access,,,C:\Users\n.elkhlifi\Documents\project.docx,Opened document
2025-05-26 09:15:55,m.benali,PC-192.168.1.104,Windows10,login_success,,,,User m.benali logged in
2025-05-26 09:16:42,y.ait,PC-192.168.1.103,Windows10,email_clicked,,,http://malicious-site.net,Clicked suspicious link: http://malicious-site.net
2025-05-26 09:17:46,a.hamidi,PC-192.168.1.105,Windows10,file_created,,,C:\Temp\malware.exe,Suspicious file created
2025-05-26 09:18:19,y.ait,PC-192.168.1.102,Windows10,open_application,Word.exe,,,y.ait opened Word.exe
2025-05-26 09:18:38,a.hamidi,PC-192.168.1.104,Windows10,open_application,Chrome.exe,,,a.hamidi opened Chrome.exe
2025-05-26 09:19:58,m.benali,PC-192.168.1.105,Windows10,file_access,,,C:\Users\m.benali\Documents\project.docx,Opened document
2025-05-26 09:20:15,m.benali,PC-192.168.1.102,Windows10,email_clicked,,,http://phish-login.com,Clicked suspicious link: http://phish-login.com
2025-05-26 09:20:32,a.hamidi,PC-192.168.1.104,Windows10,login_success,,,,User a.hamidi logged in
2025-05-26 09:21:31,r.kabbaj,PC-192.168.1.103,Windows10,login_success,,,,User r.kabbaj logged in
2025-05-26 09:22:48,m.benali,PC-192.168.1.103,Windows10,alert_av,,,,Antivirus alert triggered
2025-05-26 09:23:42,a.hamidi,PC-192.168.1.103,Windows10,file_created,,,C:\Temp\malware.exe,Suspicious file created
2025-05-26 09:24:24,m.benali,PC-192.168.1.105,Windows10,open_application,Word.exe,,,m.benali opened Word.exe
2025-05-26 09:25:26,n.elkhlifi,PC-192.168.1.105,Windows10,network_connection,,,185.199.108.153,Suspicious connection to 185.199.108.153
2025-05-26 09:26:41,m.benali,PC-192.168.1.102,Windows10,login_success,,,,User m.benali logged in
2025-05-26 09:27:58,y.ait,PC-192.168.1.101,Windows10,login_success,,,,User y.ait logged in
2025-05-26 09:29:21,n.elkhlifi,PC-192.168.1.105,Windows10,open_application,Teams.exe,,,n.elkhlifi opened Teams.exe
2025-05-26 09:30:18,a.hamidi,PC-192.168.1.104,Windows10,open_application,Outlook.exe,,,a.hamidi opened Outlook.exe
2025-05-26 09:30:50,r.kabbaj,PC-192.168.1.105,Windows10,open_application,Teams.exe,,,r.kabbaj opened Teams.exe
2025-05-26 09:32:03,a.hamidi,PC-192.168.1.102,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 09:32:46,a.hamidi,PC-192.168.1.101,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 09:33:26,a.hamidi,PC-192.168.1.101,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 09:34:09,y.ait,PC-192.168.1.103,Windows10,file_access,,,C:\Users\y.ait\Documents\project.docx,Opened document
2025-05-26 09:35:02,a.hamidi,PC-192.168.1.105,Windows10,file_created,,,C:\Temp\malware.exe,Suspicious file created
2025-05-26 09:35:17,n.elkhlifi,PC-192.168.1.102,Windows10,file_access,,,C:\Users\n.elkhlifi\Documents\project.docx,Opened document
2025-05-26 09:36:30,y.ait,PC-192.168.1.102,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 09:37:14,n.elkhlifi,PC-192.168.1.101,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 09:37:56,r.kabbaj,PC-192.168.1.102,Windows10,open_application,Chrome.exe,,,r.kabbaj opened Chrome.exe
2025-05-26 09:38:11,y.ait,PC-192.168.1.102,Windows10,email_clicked,,,http://malicious-site.net,Clicked suspicious link: http://malicious-site.net
2025-05-26 09:39:37,m.benali,PC-192.168.1.105,Windows10,open_application,Teams.exe,,,m.benali opened Teams.exe
2025-05-26 09:40:35,r.kabbaj,PC-192.168.1.102,Windows10,login_success,,,,User r.kabbaj logged in
2025-05-26 09:40:48,y.ait,PC-192.168.1.102,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 09:41:57,n.elkhlifi,PC-192.168.1.101,Windows10,open_application,Chrome.exe,,,n.elkhlifi opened Chrome.exe
2025-05-26 09:42:13,a.hamidi,PC-192.168.1.104,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 09:43:22,a.hamidi,PC-192.168.1.101,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 09:44:01,y.ait,PC-192.168.1.104,Windows10,network_connection,,,192.168.1.20,Suspicious connection to 192.168.1.20
2025-05-26 09:44:25,m.benali,PC-192.168.1.101,Windows10,email_clicked,,,http://phish-login.com,Clicked suspicious link: http://phish-login.com
2025-05-26 09:45:42,n.elkhlifi,PC-192.168.1.105,Windows10,file_created,,,C:\Temp\malware.exe,Suspicious file created
2025-05-26 09:46:53,r.kabbaj,PC-192.168.1.105,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 09:47:28,n.elkhlifi,PC-192.168.1.104,Windows10,login_success,,,,User n.elkhlifi logged in
2025-05-26 09:47:39,r.kabbaj,PC-192.168.1.104,Windows10,email_clicked,,,http://phish-login.com,Clicked suspicious link: http://phish-login.com
2025-05-26 09:48:18,m.benali,PC-192.168.1.101,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 09:48:25,m.benali,PC-192.168.1.103,Windows10,open_application,Chrome.exe,,,m.benali opened Chrome.exe
2025-05-26 09:48:44,m.benali,PC-192.168.1.104,Windows10,file_access,,,C:\Users\m.benali\Documents\project.docx,Opened document
2025-05-26 09:50:01,m.benali,PC-192.168.1.104,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 09:50:43,y.ait,PC-192.168.1.104,Windows10,file_created,,,C:\Temp\malware.exe,Suspicious file created
2025-05-26 09:51:05,y.ait,PC-192.168.1.104,Windows10,file_access,,,C:\Users\y.ait\Documents\project.docx,Opened document
2025-05-26 09:51:19,n.elkhlifi,PC-192.168.1.105,Windows10,email_clicked,,,http://malicious-site.net,Clicked suspicious link: http://malicious-site.net
2025-05-26 09:52:44,r.kabbaj,PC-192.168.1.101,Windows10,file_access,,,C:\Users\r.kabbaj\Documents\project.docx,Opened document
2025-05-26 09:54:11,m.benali,PC-192.168.1.101,Windows10,email_clicked,,,http://phish-login.com,Clicked suspicious link: http://phish-login.com
2025-05-26 09:54:56,r.kabbaj,PC-192.168.1.105,Windows10,open_application,Teams.exe,,,r.kabbaj opened Teams.exe
2025-05-26 09:55:39,y.ait,PC-192.168.1.105,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 09:56:54,m.benali,PC-192.168.1.101,Windows10,file_access,,,C:\Users\m.benali\Documents\project.docx,Opened document
2025-05-26 09:58:02,n.elkhlifi,PC-192.168.1.103,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 09:59:20,y.ait,PC-192.168.1.103,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 09:59:35,a.hamidi,PC-192.168.1.105,Windows10,login_success,,,,User a.hamidi logged in
2025-05-26 10:00:06,r.kabbaj,PC-192.168.1.102,Windows10,login_success,,,,User r.kabbaj logged in
2025-05-26 10:00:59,r.kabbaj,PC-192.168.1.104,Windows10,alert_av,,,,Antivirus alert triggered
2025-05-26 10:02:08,r.kabbaj,PC-192.168.1.101,Windows10,file_access,,,C:\Users\r.kabbaj\Documents\project.docx,Opened document
2025-05-26 10:02:46,n.elkhlifi,PC-192.168.1.105,Windows10,file_created,,,C:\Temp\malware.exe,Suspicious file created
2025-05-26 10:04:08,n.elkhlifi,PC-192.168.1.102,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 10:05:37,m.benali,PC-192.168.1.104,Windows10,alert_av,,,,Antivirus alert triggered
2025-05-26 10:06:13,a.hamidi,PC-192.168.1.104,Windows10,open_application,Chrome.exe,,,a.hamidi opened Chrome.exe
2025-05-26 10:07:06,r.kabbaj,PC-192.168.1.105,Windows10,open_application,Outlook.exe,,,r.kabbaj opened Outlook.exe
2025-05-26 10:07:57,a.hamidi,PC-192.168.1.104,Windows10,login_success,,,,User a.hamidi logged in
2025-05-26 10:08:30,m.benali,PC-192.168.1.101,Windows10,login_success,,,,User m.benali logged in
2025-05-26 10:09:47,m.benali,PC-192.168.1.105,Windows10,login_success,,,,User m.benali logged in
2025-05-26 10:11:01,y.ait,PC-192.168.1.104,Windows10,open_application,Word.exe,,,y.ait opened Word.exe
2025-05-26 10:11:12,y.ait,PC-192.168.1.102,Windows10,network_connection,,,185.199.108.153,Suspicious connection to 185.199.108.153
2025-05-26 10:11:24,n.elkhlifi,PC-192.168.1.103,Windows10,file_access,,,C:\Users\n.elkhlifi\Documents\project.docx,Opened document
2025-05-26 10:12:24,m.benali,PC-192.168.1.103,Windows10,file_access,,,C:\Users\m.benali\Documents\project.docx,Opened document
2025-05-26 10:13:28,y.ait,PC-192.168.1.103,Windows10,file_created,,,C:\Temp\malware.exe,Suspicious file created
2025-05-26 10:14:29,r.kabbaj,PC-192.168.1.101,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 10:15:18,r.kabbaj,PC-192.168.1.105,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 10:16:41,m.benali,PC-192.168.1.104,Windows10,login_success,,,,User m.benali logged in
2025-05-26 10:18:09,a.hamidi,PC-192.168.1.103,Windows10,open_application,Outlook.exe,,,a.hamidi opened Outlook.exe
2025-05-26 10:19:00,r.kabbaj,PC-192.168.1.105,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 10:19:05,r.kabbaj,PC-192.168.1.103,Windows10,login_success,,,,User r.kabbaj logged in
2025-05-26 10:19:31,a.hamidi,PC-192.168.1.101,Windows10,alert_av,,,,Antivirus alert triggered
2025-05-26 10:19:42,r.kabbaj,PC-192.168.1.105,Windows10,file_access,,,C:\Users\r.kabbaj\Documents\project.docx,Opened document
2025-05-26 10:20:44,y.ait,PC-192.168.1.103,Windows10,file_access,,,C:\Users\y.ait\Documents\project.docx,Opened document
2025-05-26 10:21:37,n.elkhlifi,PC-192.168.1.103,Windows10,open_application,Outlook.exe,,,n.elkhlifi opened Outlook.exe
2025-05-26 10:22:43,y.ait,PC-192.168.1.103,Windows10,network_connection,,,10.0.0.66,Suspicious connection to 10.0.0.66
2025-05-26 10:22:59,r.kabbaj,PC-192.168.1.103,Windows10,login_success,,,,User r.kabbaj logged in
2025-05-26 10:23:57,n.elkhlifi,PC-192.168.1.101,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 10:24:47,r.kabbaj,PC-192.168.1.105,Windows10,login_success,,,,User r.kabbaj logged in
2025-05-26 10:25:45,y.ait,PC-192.168.1.102,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 10:26:09,n.elkhlifi,PC-192.168.1.105,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 10:27:19,n.elkhlifi,PC-192.168.1.104,Windows10,open_application,Teams.exe,,,n.elkhlifi opened Teams.exe
2025-05-26 10:27:57,r.kabbaj,PC-192.168.1.105,Windows10,email_clicked,,,http://malicious-site.net,Clicked suspicious link: http://malicious-site.net
2025-05-26 10:28:10,a.hamidi,PC-192.168.1.101,Windows10,alert_av,,,,Antivirus alert triggered
2025-05-26 10:29:28,n.elkhlifi,PC-192.168.1.104,Windows10,network_connection,,,185.199.108.153,Suspicious connection to 185.199.108.153
2025-05-26 10:30:05,a.hamidi,PC-192.168.1.101,Windows10,login_success,,,,User a.hamidi logged in
2025-05-26 10:31:30,n.elkhlifi,PC-192.168.1.103,Windows10,email_clicked,,,http://um6p-reset-password.com,Clicked suspicious link: http://um6p-reset-password.com
2025-05-26 10:31:38,a.hamidi,PC-192.168.1.101,Windows10,login_success,,,,User a.hamidi logged in
2025-05-26 10:32:40,m.benali,PC-192.168.1.105,Windows10,file_access,,,C:\Users\m.benali\Documents\project.docx,Opened document
2025-05-26 10:32:57,r.kabbaj,PC-192.168.1.102,Windows10,login_success,,,,User r.kabbaj logged in
2025-05-26 10:34:02,r.kabbaj,PC-192.168.1.102,Windows10,open_application,Word.exe,,,r.kabbaj opened Word.exe
2025-05-26 10:34:30,r.kabbaj,PC-192.168.1.101,Windows10,open_application,Teams.exe,,,r.kabbaj opened Teams.exe
2025-05-26 10:35:36,a.hamidi,PC-192.168.1.105,Windows10,login_success,,,,User a.hamidi logged in
2025-05-26 10:36:59,n.elkhlifi,PC-192.168.1.105,Windows10,alert_av,,,,Antivirus alert triggered
2025-05-26 10:37:49,m.benali,PC-192.168.1.102,Windows10,file_access,,,C:\Users\m.benali\Documents\project.docx,Opened document
2025-05-26 10:38:14,n.elkhlifi,PC-192.168.1.105,Windows10,email_clicked,,,http://phish-login.com,Clicked suspicious link: http://phish-login.com
2025-05-26 10:38:35,a.hamidi,PC-192.168.1.101,Windows10,network_connection,,,185.199.108.153,Suspicious connection to 185.199.108.153
2025-05-26 10:38:45,a.hamidi,PC-192.168.1.104,Windows10,email_clicked,,,http://um6p-reset-password.com,Clicked suspicious link: http://um6p-reset-password.com
2025-05-26 10:39:20,n.elkhlifi,PC-192.168.1.103,Windows10,login_success,,,,User n.elkhlifi logged in
2025-05-26 10:39:51,y.ait,PC-192.168.1.103,Windows10,file_created,,,C:\Temp\malware.exe,Suspicious file created
2025-05-26 10:40:27,r.kabbaj,PC-192.168.1.104,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 10:41:42,n.elkhlifi,PC-192.168.1.104,Windows10,file_access,,,C:\Users\n.elkhlifi\Documents\project.docx,Opened document
2025-05-26 10:42:27,y.ait,PC-192.168.1.102,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 10:42:59,a.hamidi,PC-192.168.1.105,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 10:44:10,y.ait,PC-192.168.1.102,Windows10,login_success,,,,User y.ait logged in
2025-05-26 10:44:28,n.elkhlifi,PC-192.168.1.104,Windows10,alert_av,,,,Antivirus alert triggered
