receive_time,source_ip,dest_ip,source_port,dest_port,protocol,action,rule_name,app,category,session_id,bytes_sent,bytes_received,threat_id,url,user_agent
2025-05-26T09:16:34Z,192.168.1.22,10.10.10.10,42346,8080,tcp,allow,Allow-HTTP,http,business,1020,18200,30100,,,"Python-requests/2.31"
receive_time,source_ip,dest_ip,source_port,dest_port,protocol,action,rule_name,app,category,session_id,bytes_sent,bytes_received,threat_id,url,user_agent
2025-05-26T09:17:45Z,192.168.1.33,ph1sh-now-login[.]com,47890,443,tcp,allow,Allow-HTTPS,ssl,unknown,1021,2600,1900,,,"Outlook/16.0 (Windows NT 10.0; Win64; x64)"
2025-05-26T09:18:14Z,192.168.1.33,10.10.10.10,48001,8080,tcp,allow,Allow-HTTP,http,business,1022,20200,29000,,,"Python-requests/2.31"
2025-05-26T09:18:45Z,192.168.1.22,192.168.1.50,56789,445,tcp,allow,Allow-SMB,smb,infrastructure,1023,1800,1600,,,
2025-05-26T09:19:30Z,192.168.1.50,192.168.1.60,50432,3389,tcp,deny,Block-RDP,rdp,remote-access,1024,0,0,,,
2025-05-26T09:19:59Z,192.168.1.22,198.51.100.55,45600,443,tcp,allow,Allow-HTTPS,ssl,business,1025,1400,1300,,,"Mozilla/5.0"
2025-05-26T09:20:22Z,192.168.1.19,10.10.10.10,40011,8080,tcp,allow,Allow-HTTP,http,business,1026,17000,28000,,,"curl/7.68.0"
2025-05-26T09:20:55Z,192.168.1.19,192.168.1.1,52345,53,udp,allow,DNS-Allow,dns,infrastructure,1027,98,103,,,
2025-05-26T09:21:45Z,192.168.1.33,203.0.113.100,50000,443,tcp,allow,Allow-HTTPS,ssl,business,1028,1400,1800,,,"Mozilla/5.0"
2025-05-26T09:22:22Z,192.168.1.25,198.51.100.77,56789,21,tcp,deny,Block-FTP,ftp,file-transfer,1029,0,0,,,
2025-05-26T09:23:12Z,192.168.1.22,phish-secure[.]com,43213,443,tcp,allow,Allow-HTTPS,ssl,unknown,1030,3000,2600,,,"PowerShell/5.1"
2025-05-26T09:23:45Z,192.168.1.33,phish-secure[.]com,43214,443,tcp,allow,Allow-HTTPS,ssl,unknown,1031,2800,3100,,,"PowerShell/5.1"
2025-05-26T09:24:10Z,192.168.1.50,10.10.10.10,42346,8080,tcp,allow,Allow-HTTP,http,business,1032,18500,33000,,,"curl/7.68.0"
2025-05-26T09:25:00Z,192.168.1.22,192.168.1.100,43220,139,tcp,allow,Allow-NetBIOS,smb,infrastructure,1033,1000,1300,,,
2025-05-26T09:25:33Z,192.168.1.22,203.0.113.55,45601,443,tcp,allow,Allow-HTTPS,ssl,business,1034,1300,1250,,,"Mozilla/5.0"
2025-05-26T09:26:12Z,192.168.1.19,198.51.100.99,56700,443,tcp,deny,Block-Unknown,ssl,suspicious,1035,0,0,,,
2025-05-26T09:27:14Z,192.168.1.22,198.51.100.77,45600,443,tcp,allow,Allow-HTTPS,ssl,business,1036,2900,3100,,,"Mozilla/5.0"
2025-05-26T09:28:00Z,192.168.1.50,10.10.10.10,47890,8080,tcp,allow,Allow-HTTP,http,business,1037,20000,35000,,,"python-requests/2.31"
2025-05-26T09:28:30Z,192.168.1.50,198.51.100.88,50002,443,tcp,allow,Allow-HTTPS,ssl,business,1038,1300,1700,,,"Mozilla/5.0"
2025-05-26T09:29:05Z,192.168.1.33,198.51.100.200,43215,443,tcp,allow,Allow-HTTPS,ssl,business,1039,900,870,,,"Mozilla/5.0"
2025-05-26T09:30:00Z,192.168.1.33,10.10.10.10,49000,8080,tcp,allow,Allow-HTTP,http,business,1040,19800,31000,,,"curl/7.68.0"
2025-05-26T09:30:33Z,192.168.1.19,phish-now[.]org,44444,443,tcp,allow,Allow-HTTPS,ssl,suspicious,1041,3300,2600,,,"Outlook/16.0"
2025-05-26T09:31:15Z,192.168.1.19,10.10.10.20,42345,8080,tcp,allow,Allow-HTTP,http,business,1042,18900,27000,,,"curl/7.68.0"
2025-05-26T09:31:45Z,192.168.1.22,phish-now[.]org,44445,443,tcp,allow,Allow-HTTPS,ssl,suspicious,1043,3100,2900,,,"Outlook/16.0"
2025-05-26T09:32:22Z,192.168.1.50,192.168.1.22,56700,445,tcp,allow,Allow-SMB,smb,infrastructure,1044,1300,1600,,,
2025-05-26T09:33:05Z,192.168.1.33,192.168.1.25,50432,445,tcp,allow,Allow-SMB,smb,infrastructure,1045,1250,1550,,,
2025-05-26T09:34:10Z,192.168.1.22,203.0.113.34,49000,443,tcp,allow,Allow-HTTPS,ssl,business,1046,1400,1600,,,"Mozilla/5.0"
2025-05-26T09:35:00Z,192.168.1.19,192.168.1.100,43250,3389,tcp,deny,Block-RDP,rdp,remote-access,1047,0,0,,,
2025-05-26T09:35:45Z,192.168.1.19,ph1sh-now-login[.]com,43260,443,tcp,allow,Allow-HTTPS,ssl,suspicious,1048,2700,2200,,,"Outlook/16.0"
2025-05-26T09:36:15Z,192.168.1.19,10.10.10.10,43261,8080,tcp,allow,Allow-HTTP,http,business,1049,17800,31000,,,"Python-requests/2.31"
2025-05-26T09:37:00Z,192.168.1.50,192.168.1.33,43262,445,tcp,allow,Allow-SMB,smb,infrastructure,1050,1250,1430,,,

